chrstrandcoord,gene,dry_seed1,dry_seed2,dry_seed3,endosperm1,endosperm2,endosperm3,leaf_20days1,leaf_20days2,leaf_20days3,husk1,husk2,husk3
Chr6-20223915,LOC_Os06g34790,178,173,174,279,231,245,327,375,363,408,484,357
Chr6-20223699,LOC_Os06g34790,0,0,0,5,12,17,0,0,3,2,1,3
Chr6-20635351,LOC_Os06g35410,90,57,48,111,108,106,33,17,36,34,34,34
Chr6-20635415,LOC_Os06g35410,3,3,3,2,15,1,0,0,0,0,0,0
Chr6-20998099,LOC_Os06g35960,75,50,44,54,37,44,1,1,4,0,8,1
Chr6-20996340,LOC_Os06g35960,703,662,676,919,903,857,2,4,0,12,11,11
Chr6-21069550,LOC_Os06g36050,44,31,27,33,27,19,56,61,53,14,17,14
Chr6-21066261,LOC_Os06g36050,0,2,0,1,3,6,4,3,4,22,28,25
Chr6-21414841,LOC_Os06g36480,1,2,0,2,2,2,1,0,1,0,0,0
Chr6-21421108,LOC_Os06g36480,2,0,1,0,0,1,3,1,2,0,0,0
Chr6-21414776,LOC_Os06g36480,0,0,2,12,15,9,0,3,2,8,8,6
Chr6-21963477,LOC_Os06g37180,42,5,23,23,34,18,3,4,3,1,4,2
Chr6-21963207,LOC_Os06g37180,690,587,673,685,535,535,734,716,697,781,1001,1031
Chr6-23087555,LOC_Os06g38910,0,0,0,0,0,0,0,0,0,1,0,0
Chr6-23086909,LOC_Os06g38910,2,12,6,3,2,1,3,4,3,2,2,2
Chr6+23846208,LOC_Os06g40060,3,5,4,4,11,0,0,0,0,0,0,0
Chr6+23846628,LOC_Os06g40060,7,5,3,8,2,6,0,0,0,0,2,1
Chr6+23846762,LOC_Os06g40060,0,0,1,7,3,6,0,0,0,0,1,2
Chr6+23847017,LOC_Os06g40060,138,173,104,271,202,316,148,125,139,164,161,129
Chr6+23844369,LOC_Os06g40060,3,5,8,7,4,3,0,0,0,0,0,0
Chr6+23846874,LOC_Os06g40060,1,5,2,14,9,4,0,0,0,1,1,1
Chr6-25073605,LOC_Os06g41810,10,1,10,9,0,2,21,15,45,15,17,6
Chr6-25073255,LOC_Os06g41810,1,3,3,4,0,3,2,1,2,0,0,0
Chr6-25073672,LOC_Os06g41810,27,28,28,41,44,43,55,94,112,42,44,56
Chr6-25899616,LOC_Os06g43090,0,3,5,0,3,1,0,2,0,20,23,12
Chr6-25899526,LOC_Os06g43090,14,9,14,2,4,3,4,3,2,138,127,132
Chr6-25899445,LOC_Os06g43090,9,11,10,3,2,0,1,5,6,196,212,209
Chr6-25899296,LOC_Os06g43090,1,1,1,0,0,0,0,0,0,0,2,1
Chr6+26303034,LOC_Os06g43680,17,11,16,8,16,5,19,18,15,6,6,6
Chr6+26297637,LOC_Os06g43680,13,14,14,9,9,1,0,0,0,0,0,0
Chr6+26302824,LOC_Os06g43680,11,6,11,0,26,60,6,4,3,7,5,3
Chr6+26303103,LOC_Os06g43680,44,58,26,25,25,19,66,65,62,27,36,35
Chr6-26637991,LOC_Os06g44150,1,0,2,2,3,1,9,8,8,2,0,1
Chr6-26635719,LOC_Os06g44150,1,3,2,3,1,2,61,40,42,3,14,12
Chr6-26635628,LOC_Os06g44150,2,5,3,0,0,0,62,60,47,25,29,34
Chr6-26948705,LOC_Os06g44620,5,1,6,8,6,14,0,0,1,0,0,0
Chr6-26945604,LOC_Os06g44620,2,2,1,0,2,3,0,0,0,1,1,2
Chr6-26943172,LOC_Os06g44620,124,109,98,111,126,141,185,151,224,154,126,159
Chr6+27561599,LOC_Os06g45540,2,2,1,0,0,0,0,0,0,33,25,37
Chr6+27561475,LOC_Os06g45540,0,0,0,0,0,0,0,0,0,13,4,8
Chr6+27561347,LOC_Os06g45540,2,0,1,0,0,0,0,0,0,1,0,2
Chr6+28402076,LOC_Os06g46770,1,22,8,5,5,8,0,0,0,0,0,0
Chr6+28404272,LOC_Os06g46770,6,0,0,4,7,7,8,2,8,6,8,6
Chr6-28641300,LOC_Os06g47230,3,4,3,2,1,4,0,0,0,6,9,13
Chr6-28639437,LOC_Os06g47230,4900,5043,4690,3809,4013,4068,2562,2680,2491,3249,3249,3115
Chr6-28640867,LOC_Os06g47230,1,2,1,0,0,0,0,0,0,0,0,0
Chr6+28706369,LOC_Os06g47350,1199,1339,1586,1253,1208,1314,997,932,780,1168,938,899
Chr6+28701964,LOC_Os06g47350,28,27,18,26,51,32,6,6,8,5,1,1
Chr6-29215091,LOC_Os06g48320,5,5,8,14,22,27,0,0,0,0,3,0
Chr6-29217421,LOC_Os06g48320,18,17,32,15,34,64,0,0,0,1,0,0
Chr6-29215435,LOC_Os06g48320,105,226,71,140,148,154,19,19,17,67,69,82
Chr6-29215735,LOC_Os06g48320,3,0,4,0,1,0,5,1,0,1,0,0
Chr6-29215275,LOC_Os06g48320,30,23,15,43,39,19,3,2,0,10,9,13
Chr6-29217696,LOC_Os06g48320,6,12,1,13,33,42,0,1,0,1,2,2
Chr6-29958681,LOC_Os06g49440,0,1,0,0,0,0,1,1,3,0,1,1
Chr6-29955988,LOC_Os06g49440,17,7,10,4,20,31,24,31,16,21,18,30
Chr6-29955619,LOC_Os06g49440,0,3,5,3,2,9,25,16,16,21,9,11
Chr6+31184620,LOC_Os06g51480,7,4,4,3,1,1,5,0,7,7,5,6
Chr6+31184283,LOC_Os06g51480,46,45,44,47,61,37,129,118,123,70,66,62
Chr7+21062,LOC_Os07g01030,9,5,3,0,0,0,26,25,30,4,5,4
Chr7+21337,LOC_Os07g01030,23,24,25,37,15,23,566,512,512,98,88,78
Chr7-451747,LOC_Os07g01770,16,17,16,20,10,10,0,4,1,1004,956,1305
Chr7-453397,LOC_Os07g01770,0,0,0,0,0,0,0,0,0,0,0,0
Chr7-452595,LOC_Os07g01770,0,0,0,0,0,0,0,0,0,0,0,0
Chr7-453618,LOC_Os07g01770,0,0,0,0,0,0,0,0,0,2,0,0
Chr7-457751,LOC_Os07g01770,0,0,0,0,0,0,0,0,0,25,21,39
Chr7-452404,LOC_Os07g01770,0,0,0,0,0,0,0,0,0,5,5,1
Chr7-607252,LOC_Os07g01990,0,0,0,1,0,1,1,1,0,0,0,1
Chr7-604708,LOC_Os07g01990,99,99,176,204,152,181,188,284,212,92,104,84
Chr7-604833,LOC_Os07g01990,10,7,8,1,2,1,0,1,0,0,0,0
Chr7+798364,LOC_Os07g02340,6,0,5,0,0,0,0,0,0,7,7,5
Chr7+798246,LOC_Os07g02340,2,9,6,1,1,7,0,0,0,0,1,1
Chr7+799174,LOC_Os07g02340,5,0,6,0,5,14,12,12,12,23,26,23
Chr7+798977,LOC_Os07g02340,330,260,318,431,475,503,1089,1151,1099,1094,1084,1089
Chr7+3244556,LOC_Os07g06644,11,18,14,7,14,10,411,450,428,47,54,48
Chr7+3242941,LOC_Os07g06644,0,0,0,0,0,0,30,38,34,1,0,5
Chr7-3847108,LOC_Os07g07680,0,1,0,2,0,3,3,0,1,5,7,2
Chr7-3847055,LOC_Os07g07680,31,30,32,19,16,9,147,118,161,168,127,154
Chr7-4150686,LOC_Os07g08170,3,5,2,10,10,10,15,6,3,2,3,5
Chr7-4151057,LOC_Os07g08170,50,49,51,44,75,137,19,27,22,24,25,25
Chr7-4150765,LOC_Os07g08170,4,5,2,1,0,3,0,0,1,1,0,1
Chr7-4185358,LOC_Os07g08210,31,19,18,38,31,37,27,38,37,24,24,18
Chr7-4185763,LOC_Os07g08210,3,3,3,6,13,7,33,36,35,14,15,11
Chr7-4185233,LOC_Os07g08210,6,22,6,6,5,19,61,45,33,20,33,28
Chr7-5128827,LOC_Os07g09670,6,3,8,8,6,4,0,0,0,0,1,1
Chr7-5128529,LOC_Os07g09670,8,19,20,0,0,0,6,0,7,4,1,6
Chr7-5128678,LOC_Os07g09670,120,70,26,78,48,54,17,14,8,23,29,29
Chr7-6115520,LOC_Os07g11060,1,1,1,2,3,1,3,3,3,0,0,0
Chr7-6108152,LOC_Os07g11060,156,84,176,115,110,110,130,114,137,75,80,70
Chr7-8939846,LOC_Os07g15440,3,21,18,0,0,0,0,0,0,3,2,1
Chr7-8930453,LOC_Os07g15440,16,14,13,30,30,1,0,0,0,2,2,3
Chr7-8938123,LOC_Os07g15440,3,1,4,4,4,1,0,0,0,0,0,0
Chr7-8930109,LOC_Os07g15440,18,66,35,35,7,17,1,1,0,11,21,13
Chr7-10127947,LOC_Os07g17210,5,3,7,4,2,1,0,0,0,0,0,0
Chr7-10133881,LOC_Os07g17210,4,2,3,0,0,0,2,1,3,0,0,0
Chr7-10127706,LOC_Os07g17210,17,15,20,13,32,20,1,0,2,9,1,16
Chr7-10822540,LOC_Os07g18250,2,0,9,4,2,2,1,0,1,0,0,0
Chr7-10817328,LOC_Os07g18250,6,6,9,1,27,2,31,27,27,24,43,44
Chr7-10817417,LOC_Os07g18250,4,5,9,11,3,20,2,4,3,1,1,13
Chr7+11221181,LOC_Os07g18930,26,22,23,29,32,44,7,3,9,5,5,2
Chr7+11221295,LOC_Os07g18930,2,4,2,4,2,0,7,12,3,4,5,6
Chr7+12566795,LOC_Os07g22390,6,3,3,16,2,4,6,11,1,4,4,4
Chr7+12570172,LOC_Os07g22390,68,51,37,37,42,121,14,32,49,85,85,85
Chr7+12566736,LOC_Os07g22390,2,2,3,0,0,0,3,3,5,10,13,15
Chr7-13058176,LOC_Os07g23169,0,0,0,0,1,0,0,0,0,9,1,0
Chr7-13058980,LOC_Os07g23169,0,0,5,2,0,1,2,0,4,7,3,6
Chr7-13057842,LOC_Os07g23169,18,18,21,8,3,16,3,2,2,7,10,6
Chr7-13064601,LOC_Os07g23169,0,0,2,7,2,10,1,2,1,0,1,0
Chr7-13064529,LOC_Os07g23169,0,11,21,9,14,8,4,10,15,0,2,2
Chr7-13064446,LOC_Os07g23169,2,6,5,2,1,3,11,0,14,5,6,4
Chr7-13436763,LOC_Os07g23790,21,39,54,45,25,22,139,183,152,109,108,126
Chr7-13439141,LOC_Os07g23790,0,0,0,0,0,0,0,0,0,0,0,0
Chr7-13439354,LOC_Os07g23790,19,43,70,13,8,21,0,0,0,0,0,0
Chr7-13438764,LOC_Os07g23790,3,4,1,0,1,2,0,0,0,0,0,0
Chr7-13438287,LOC_Os07g23790,0,0,0,0,0,0,0,0,0,0,0,0
Chr7-13438691,LOC_Os07g23790,4,3,1,0,0,0,0,0,0,0,0,0
Chr7-13439556,LOC_Os07g23790,1,0,1,8,10,8,0,0,0,0,0,0
Chr7-13437936,LOC_Os07g23790,0,0,0,0,0,0,0,0,0,1,0,0
Chr7-13438573,LOC_Os07g23790,11,13,11,18,21,33,5,2,6,0,0,1
Chr7-13513635,LOC_Os07g23900,3,19,8,5,7,7,0,0,0,3,5,3
Chr7-13513516,LOC_Os07g23900,0,0,0,1,0,2,0,0,0,3,4,0
Chr7+15407379,LOC_Os07g26690,0,0,0,0,0,0,1,2,3,4,7,6
Chr7+15410010,LOC_Os07g26690,2,2,3,0,0,0,67,65,63,61,59,62
Chr7+15409709,LOC_Os07g26690,302,357,340,122,144,133,2641,2585,2955,2794,3017,2765
Chr7-16627446,LOC_Os07g28440,0,0,0,0,0,0,1,3,0,2,4,3
Chr7-16628159,LOC_Os07g28440,0,0,0,4,9,2,0,0,0,0,0,0
Chr7-16627852,LOC_Os07g28440,7,7,7,3,0,3,0,0,0,0,1,0
Chr7-16627620,LOC_Os07g28440,307,286,472,374,381,375,295,336,315,423,437,660
Chr7+16675328,LOC_Os07g28480,4,1,2,5,10,5,216,237,229,29,24,30
Chr7+16675251,LOC_Os07g28480,16,15,16,31,14,27,172,213,162,20,20,20
Chr7-17883269,LOC_Os07g30250,10,5,5,7,4,3,10,7,6,3,4,6
Chr7-17881257,LOC_Os07g30250,6,7,15,1,4,0,0,0,0,0,0,0
Chr7-17881209,LOC_Os07g30250,11,10,5,11,4,4,8,14,18,9,9,15
Chr7-17880997,LOC_Os07g30250,6,7,6,3,3,4,107,134,147,61,58,45
Chr7-18246162,LOC_Os07g30820,4,2,3,6,0,2,0,0,0,0,0,0
Chr7-18241608,LOC_Os07g30820,699,678,733,674,625,626,357,366,321,189,254,199
Chr7-18253476,LOC_Os07g30840,4,0,7,13,12,13,15,18,19,6,7,18
Chr7-18253699,LOC_Os07g30840,215,228,197,162,171,174,101,104,89,102,135,137
Chr7-18253785,LOC_Os07g30840,3,1,1,2,13,3,0,0,0,3,0,5
Chr7-18253842,LOC_Os07g30840,13,13,12,2,6,4,0,0,0,0,0,0
Chr7+18324603,LOC_Os07g30940,181,217,270,210,238,247,97,107,88,191,207,208
Chr7+18324430,LOC_Os07g30940,65,155,84,29,82,77,0,0,0,0,0,0
Chr7+19289539,LOC_Os07g32420,140,94,132,148,154,153,64,61,63,57,41,48
Chr7+19289709,LOC_Os07g32420,156,165,170,175,160,114,260,266,285,108,92,68
Chr7+19288958,LOC_Os07g32420,1,2,0,0,0,0,1,0,0,6,6,6
Chr7+20566854,LOC_Os07g34320,1,4,2,5,6,3,7,5,5,1,1,0
Chr7+20566670,LOC_Os07g34320,0,0,0,0,0,0,0,0,0,0,1,0
Chr7+22571398,LOC_Os07g37640,7,4,19,1,4,5,0,0,0,1,1,1
Chr7+22570551,LOC_Os07g37640,0,0,0,0,2,2,1,0,1,0,0,0
Chr7+22571508,LOC_Os07g37640,106,118,107,80,39,90,21,19,18,39,40,39
Chr7-23507113,LOC_Os07g39270,1,1,1,3,2,9,1,0,0,0,1,2
Chr7-23507310,LOC_Os07g39270,20,13,16,24,13,29,6,6,9,10,11,6
Chr7-23506870,LOC_Os07g39270,14,10,11,9,14,5,5,3,0,2,1,2
Chr7-23507029,LOC_Os07g39270,11,20,12,8,6,11,4,2,2,2,2,4
Chr7-23507510,LOC_Os07g39270,16,17,19,36,30,31,116,133,131,104,102,121
Chr7+23543690,LOC_Os07g39310,34,38,43,33,13,36,2,3,4,10,15,7
Chr7+23544043,LOC_Os07g39310,3,0,2,3,16,9,0,0,1,0,0,2
Chr7+23543533,LOC_Os07g39310,169,161,152,138,178,136,50,46,51,146,123,147
Chr7+23540766,LOC_Os07g39310,2,2,4,2,2,4,3,11,3,4,3,3
Chr7-23893991,LOC_Os07g39850,0,0,0,0,0,0,1,1,1,2,7,5
Chr7-23894122,LOC_Os07g39850,12,14,12,1,2,2,1,1,1,23,18,23
Chr7+23931220,LOC_Os07g39900,875,758,798,936,884,855,354,337,332,188,188,203
Chr7+23926466,LOC_Os07g39900,0,0,0,0,0,0,0,0,0,0,1,1
Chr7+23930644,LOC_Os07g39900,4,5,2,0,0,0,0,0,0,0,0,0
Chr7+26850227,LOC_Os07g45000,214,264,207,257,299,242,170,187,177,63,68,80
Chr7+26850359,LOC_Os07g45000,1,0,0,0,1,2,20,20,10,22,6,31
Chr7+27722459,LOC_Os07g46450,8,8,20,1,1,0,0,0,0,0,0,0
Chr7+27722660,LOC_Os07g46450,51,32,27,1,15,30,28,19,34,26,24,22
Chr7-27783663,LOC_Os07g46520,181,206,172,254,246,272,1159,1117,1176,290,276,268
Chr7-27785620,LOC_Os07g46520,5,1,0,0,0,0,9,0,2,0,0,0
Chr7-27783465,LOC_Os07g46520,0,0,0,0,0,0,2,3,0,1,1,0
Chr7-28191080,LOC_Os07g47150,13,10,14,16,20,36,7,4,4,19,9,17
Chr7-28189797,LOC_Os07g47150,3,0,2,0,0,0,0,0,0,3,0,1
Chr7-29248108,LOC_Os07g48880,2,0,1,1,0,1,0,1,0,0,0,0
Chr7-29247577,LOC_Os07g48880,0,2,0,2,1,1,1,8,0,0,0,0
Chr7-29248465,LOC_Os07g48880,5,3,6,0,0,0,12,12,18,7,7,6
Chr7-29247837,LOC_Os07g48880,12,15,16,13,10,18,12,10,8,0,2,7
Chr7-29295224,LOC_Os07g48960,3,2,2,1,1,2,4,5,0,1,1,1
Chr7-29292322,LOC_Os07g48960,108,55,83,75,55,79,4,7,2,21,26,47
Chr7-29292454,LOC_Os07g48960,46,44,41,52,31,38,4,4,3,21,20,18
Chr7+29370450,LOC_Os07g49040,19,10,13,16,14,11,34,43,63,53,61,68
Chr7+29370153,LOC_Os07g49040,10,6,9,3,0,2,0,0,0,3,3,6
Chr7+29400763,LOC_Os07g49110,0,0,0,0,0,0,1,1,1,0,0,1
Chr7+29401829,LOC_Os07g49110,7,6,5,17,17,15,1458,1511,1480,107,138,104
Chr7+29400050,LOC_Os07g49110,0,0,0,0,0,0,1,3,4,1,1,2
Chr8+191783,LOC_Os08g01290,4,3,2,3,5,1,1,4,7,10,0,14
Chr8+188813,LOC_Os08g01290,6,5,6,0,0,0,0,0,0,0,0,0
Chr8+191880,LOC_Os08g01290,0,0,0,0,0,3,0,0,6,6,9,5
Chr8+190990,LOC_Os08g01290,4,0,1,0,0,1,0,2,1,2,2,2
Chr8+190741,LOC_Os08g01290,141,114,131,100,119,110,50,51,56,72,31,50
Chr8+698542,LOC_Os08g02110,0,0,0,0,0,0,0,0,0,1,1,2
Chr8+698310,LOC_Os08g02110,0,0,0,0,0,0,0,0,0,8,0,9
Chr8+698624,LOC_Os08g02110,0,0,0,0,0,0,0,0,0,11,14,11
Chr8-768390,LOC_Os08g02230,0,0,1,3,2,3,405,388,348,13,7,15
Chr8-768511,LOC_Os08g02230,0,0,0,1,2,1,51,39,36,0,0,1
Chr8-768102,LOC_Os08g02230,0,0,0,0,0,0,67,67,68,0,0,0
Chr8+1621375,LOC_Os08g03450,827,813,624,743,678,509,169,175,153,444,475,443
Chr8+1620274,LOC_Os08g03450,11,13,12,1,2,2,0,0,0,0,0,0
Chr8+1620496,LOC_Os08g03450,5,15,1,4,5,6,1,1,1,0,0,0
Chr8+1620024,LOC_Os08g03450,18,14,10,5,2,11,0,0,0,0,0,0
Chr8-3326360,LOC_Os08g06090,7,2,6,2,0,0,52,62,64,136,122,125
Chr8-3326520,LOC_Os08g06090,0,0,0,1,0,0,0,0,0,0,0,0
Chr8-3326187,LOC_Os08g06090,1,2,0,0,2,2,11,3,3,15,18,13
Chr8+3685466,LOC_Os08g06500,1,0,3,0,0,0,12,3,3,10,11,12
Chr8+3684290,LOC_Os08g06500,0,0,1,1,0,0,0,0,1,0,1,1
Chr8+3685199,LOC_Os08g06500,3,2,1,2,1,1,0,2,0,0,0,0
Chr8-4416522,LOC_Os08g07850,0,0,1,12,15,19,2,0,1,0,0,0
Chr8-4414657,LOC_Os08g07850,0,0,0,0,0,0,6,5,7,0,0,0
Chr8-4416683,LOC_Os08g07850,1,0,0,7,5,4,1,6,1,0,0,0
Chr8-4406637,LOC_Os08g07850,47,37,71,50,27,66,55,55,28,49,41,46
Chr8+4591234,LOC_Os08g08080,96,21,90,66,63,98,53,52,52,15,31,17
Chr8+4588301,LOC_Os08g08080,0,0,0,0,2,0,0,0,0,0,0,0
Chr8+4589022,LOC_Os08g08080,5,1,3,0,4,2,7,6,6,2,1,2
Chr8+4696656,LOC_Os08g08210,122,127,119,147,123,128,183,179,210,139,129,119
Chr8+4696954,LOC_Os08g08210,4,1,1,1,1,6,0,1,0,0,0,0
Chr8-5806505,LOC_Os08g10020,2,0,2,39,21,81,39167,34513,37539,1931,1827,2302
Chr8-5807976,LOC_Os08g10020,1,0,0,0,0,0,0,2,4,0,0,0
Chr8-7991095,LOC_Os08g13430,0,0,0,0,0,0,0,0,0,3,0,0
Chr8-7991393,LOC_Os08g13430,1,3,0,6,1,0,11,15,8,6,4,1
Chr8-7992843,LOC_Os08g13430,4,5,6,2,0,4,51,46,47,2,5,4
Chr8-7991327,LOC_Os08g13430,0,0,0,3,1,0,3,3,5,2,2,3
Chr8-7992674,LOC_Os08g13430,0,3,2,4,1,4,41,32,31,8,8,6
Chr8+12719261,LOC_Os08g21330,0,0,0,0,0,0,0,0,0,3,0,1
Chr8+12718764,LOC_Os08g21330,1,0,3,1,2,3,0,0,0,7,9,2
Chr8+12719218,LOC_Os08g21330,0,0,0,0,0,0,5,5,2,1,0,2
Chr8-12724304,LOC_Os08g21350,227,212,221,93,149,141,170,167,152,128,58,190
Chr8-12724556,LOC_Os08g21350,116,124,137,138,172,120,0,1,0,9,9,9
Chr8+13074572,LOC_Os08g21840,0,1,3,0,1,0,6,1,2,0,0,0
Chr8+13075843,LOC_Os08g21840,1,8,4,2,4,12,0,0,0,0,0,0
Chr8+13076027,LOC_Os08g21840,32,30,36,1,22,31,14,1,3,23,23,23
Chr8-16519397,LOC_Os08g27040,12,3,2,0,0,0,3,2,8,2,6,3
Chr8-16519628,LOC_Os08g27040,94,84,84,16,79,71,57,58,75,114,80,86
Chr8-16522921,LOC_Os08g27040,0,0,0,0,1,0,1,0,1,0,0,0
Chr8-16915204,LOC_Os08g27759,0,0,0,0,0,0,0,2,1,0,1,0
Chr8-16916653,LOC_Os08g27759,21,18,20,7,3,3,0,9,2,27,33,40
Chr8-16946484,LOC_Os08g27824,32,32,36,19,14,17,11,0,0,22,21,19
Chr8-16946671,LOC_Os08g27824,8,10,15,2,5,5,0,2,0,0,0,0
Chr8-18103293,LOC_Os08g29530,173,312,204,257,265,186,127,118,116,128,126,133
Chr8-18108092,LOC_Os08g29530,1,0,1,3,3,2,0,0,0,3,1,0
Chr8+19207763,LOC_Os08g31090,80,76,98,81,88,56,3,1,0,67,46,45
Chr8+19208087,LOC_Os08g31090,8,8,8,9,6,4,0,0,0,5,1,3
Chr8+19548979,LOC_Os08g31580,328,559,567,445,381,388,244,250,233,515,446,521
Chr8+19547661,LOC_Os08g31580,37,31,37,15,33,24,3,3,5,4,3,4
Chr8+19698137,LOC_Os08g31769,96,37,68,42,19,13,9,6,1,22,22,20
Chr8+19693840,LOC_Os08g31769,4,8,3,0,25,4,6,1,5,2,3,3
Chr8+20565942,LOC_Os08g33082,0,1,0,4,4,1,2,2,0,1,3,1
Chr8+20566194,LOC_Os08g33082,58,69,55,23,18,28,55,55,55,44,72,57
Chr8+20560447,LOC_Os08g33082,1,1,1,1,1,0,3,0,2,0,0,0
Chr8-22219629,LOC_Os08g35220,0,0,0,0,5,0,0,0,0,1,0,1
Chr8-22220044,LOC_Os08g35220,61,16,26,24,19,19,36,40,41,12,9,13
Chr8-22219953,LOC_Os08g35220,0,0,0,5,0,2,4,4,3,6,19,17
Chr8-23219154,LOC_Os08g36774,185,174,185,117,133,145,116,84,105,58,55,65
Chr8-23218888,LOC_Os08g36774,1,0,1,0,0,0,0,1,0,0,0,0
Chr8-23229774,LOC_Os08g36774,0,0,0,0,0,0,1,1,2,0,0,0
Chr8-23229595,LOC_Os08g36774,4,4,4,23,5,5,0,0,0,1,1,0
Chr8+23717394,LOC_Os08g37432,54,41,35,80,91,79,209,213,214,12,25,24
Chr8+23717490,LOC_Os08g37432,2,2,0,0,0,0,11,6,8,0,0,0
Chr8+23714230,LOC_Os08g37432,18,20,19,15,22,10,3,3,1,2,1,1
Chr8+24499077,LOC_Os08g38740,16,21,20,36,19,22,0,0,0,22,37,31
Chr8+24498123,LOC_Os08g38740,7,9,13,0,2,2,0,0,0,0,0,0
Chr8+24498068,LOC_Os08g38740,17,2,1,1,1,2,0,0,0,0,0,0
Chr8+24713013,LOC_Os08g39120,0,0,0,0,0,0,2,3,2,0,0,0
Chr8+24715539,LOC_Os08g39120,13,16,12,6,11,11,10,9,8,27,21,25
Chr8+24715695,LOC_Os08g39120,1,4,1,3,5,0,0,0,1,0,1,1
Chr8+24715432,LOC_Os08g39120,4,2,1,3,3,2,0,0,0,0,0,4
Chr8+25940341,LOC_Os08g41010,0,0,0,0,0,0,1,2,2,0,1,0
Chr8+25942290,LOC_Os08g41010,193,273,184,276,253,265,35,31,26,24,39,34
Chr8+25940856,LOC_Os08g41010,0,0,0,0,0,1,0,10,1,0,0,2
Chr8+25940715,LOC_Os08g41010,12,29,22,14,23,21,37,38,38,19,3,27
Chr8+25942446,LOC_Os08g41010,21,17,23,41,20,49,14,1,6,5,7,6
Chr8-26165335,LOC_Os08g41440,0,0,0,0,0,0,0,0,0,2,2,7
Chr8-26165429,LOC_Os08g41440,0,0,0,0,0,0,0,0,0,5,9,12
Chr8-26165225,LOC_Os08g41440,0,0,0,0,0,0,0,0,1,83,92,84
Chr8-26165067,LOC_Os08g41440,5,6,2,16,0,4,3,17,14,241,281,279
Chr8-26842165,LOC_Os08g42470,0,1,0,2,0,2,2,1,2,1,1,1
Chr8-26841065,LOC_Os08g42470,0,0,0,0,0,0,1,1,3,2,1,2
Chr8+28019336,LOC_Os08g44560,5,7,12,4,4,27,1,0,1,0,0,0
Chr8+28019959,LOC_Os08g44560,8,2,2,2,20,27,1,2,2,5,2,4
Chr8+28019221,LOC_Os08g44560,3,6,3,4,2,1,0,0,0,0,3,0
Chr8+28020252,LOC_Os08g44560,31,35,30,31,34,22,30,12,42,2,8,5
Chr8+28345550,LOC_Os08g45140,22,10,4,13,35,21,86,108,102,84,80,91
Chr8+28345480,LOC_Os08g45140,13,11,6,12,16,18,4,4,5,0,0,0
Chr9-3494968,LOC_Os09g07154,0,0,0,0,0,0,0,0,0,0,8,9
Chr9-3494310,LOC_Os09g07154,1,0,0,0,0,0,0,0,0,8,5,8
Chr9-3493970,LOC_Os09g07154,0,1,0,0,0,0,0,0,0,0,0,0
Chr9-4201088,LOC_Os09g08130,7,3,5,1,1,2,0,0,0,2,2,4
Chr9-4201179,LOC_Os09g08130,0,3,2,0,0,0,1,1,2,2,0,1
Chr9-4200791,LOC_Os09g08130,2,1,2,1,7,0,9,9,2,1,6,0
Chr9-4502975,LOC_Os09g08620,6,12,5,29,9,24,14,13,16,6,7,8
Chr9-4504354,LOC_Os09g08620,3,2,1,1,5,3,10,1,0,0,0,3
Chr9-5838299,LOC_Os09g10710,13,25,25,10,30,20,17,22,17,32,24,23
Chr9-5837818,LOC_Os09g10710,90,188,188,102,137,152,124,154,102,79,76,66
Chr9-9970573,LOC_Os09g16330,133,126,133,179,183,164,75,75,78,29,27,25
Chr9-9976956,LOC_Os09g16330,0,0,0,0,0,0,1,2,2,0,0,0
Chr9-9978437,LOC_Os09g16330,1,0,2,1,1,0,0,0,0,0,0,0
Chr9+11815225,LOC_Os09g19734,0,2,1,0,0,0,8,2,2,0,0,2
Chr9+11808918,LOC_Os09g19734,96,65,79,98,116,99,269,252,243,416,467,361
Chr9+11815322,LOC_Os09g19734,1,1,3,0,3,1,51,20,30,4,3,4
Chr9-11913911,LOC_Os09g19910,10,7,5,8,5,7,0,0,0,0,0,0
Chr9-11913665,LOC_Os09g19910,76,76,86,55,60,47,44,33,50,70,70,46
Chr9-11920887,LOC_Os09g19930,0,0,0,2,2,2,1,3,2,16,15,15
Chr9-11920518,LOC_Os09g19930,0,0,0,2,0,2,0,0,0,5,1,6
Chr9-12289976,LOC_Os09g20430,4,15,19,17,12,3,10,14,12,6,5,4
Chr9-12290869,LOC_Os09g20430,2,0,1,8,7,8,0,0,1,0,0,1
Chr9-13141232,LOC_Os09g21689,0,0,2,5,3,2,1,0,1,1,0,0
Chr9-13143923,LOC_Os09g21689,1,0,1,1,0,1,1,1,1,1,2,2
Chr9-13140575,LOC_Os09g21689,11,18,22,28,11,17,35,38,37,35,40,47
Chr9-13144064,LOC_Os09g21689,4,6,3,3,1,1,0,2,1,3,9,6
Chr9-13141141,LOC_Os09g21689,0,0,0,5,3,0,0,1,0,2,2,2
Chr9-13140981,LOC_Os09g21689,0,8,4,6,0,9,1,0,0,5,4,5
Chr9-13146026,LOC_Os09g21689,7,17,5,2,0,2,13,11,5,17,18,8
Chr9-15450591,LOC_Os09g25784,1,0,0,0,0,4,13,7,10,1,0,2
Chr9-15454658,LOC_Os09g25784,2,0,2,1,2,1,0,2,0,0,2,0
Chr9-15451257,LOC_Os09g25784,2,2,0,1,1,2,0,0,0,0,0,0
Chr9-15546421,LOC_Os09g25900,67,48,11,39,0,17,2,9,1,4,4,13
